id,first_name,last_name,email,year,specialty,group,created_at
550e8400-e29b-41d4-a716-446655440024,Madison,Harris,madison.harris@example.com,1,IIR,G4,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440025,Henry,Sanchez,henry.sanchez@example.com,1,IIR,G4,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440026,Elizabeth,Clark,elizabeth.clark@example.com,1,IIR,G4,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440027,Joseph,Ramirez,joseph.ramirez@example.com,1,IIR,G5,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440028,Scarlett,Lewis,scarlett.lewis@example.com,1,IIR,G5,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440029,Samuel,Robinson,samuel.robinson@example.com,1,IIR,G5,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440030,Victoria,Walker,victoria.walker@example.com,1,IIR,G5,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440031,David,Young,david.young@example.com,1,IIR,G5,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440032,Avery,Allen,avery.allen@example.com,1,IIR,G5,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440033,Logan,King,logan.king@example.com,1,IIR,G5,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440034,Sofia,Wright,sofia.wright@example.com,1,IIR,G6,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440035,Jackson,Scott,jackson.scott@example.com,1,IIR,G6,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440036,Aria,Torres,aria.torres@example.com,1,IIR,G6,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440037,Sebastian,Nguyen,sebastian.nguyen@example.com,1,IIR,G6,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440038,Chloe,Hill,chloe.hill@example.com,1,IIR,G6,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440039,Carter,Green,carter.green@example.com,1,IIR,G6,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440040,Penelope,Adams,penelope.adams@example.com,1,IIR,G6,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440041,Gabriel,Baker,gabriel.baker@example.com,1,IIR,G7,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440042,Hannah,Hall,hannah.hall@example.com,1,IIR,G7,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440043,Julian,Rivera,julian.rivera@example.com,1,IIR,G7,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440044,Lily,Campbell,lily.campbell@example.com,1,IIR,G7,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440045,Anthony,Mitchell,anthony.mitchell@example.com,1,IIR,G7,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440046,Addison,Carter,addison.carter@example.com,1,IIR,G7,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440047,Dylan,Roberts,dylan.roberts@example.com,1,IIR,G7,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440048,Zoey,Gomez,zoey.gomez@example.com,1,IIR,G8,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440049,Luke,Phillips,luke.phillips@example.com,1,IIR,G8,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440050,Eleanor,Evans,eleanor.evans@example.com,1,IIR,G8,2023-01-01 08:00:00
